epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,71.5742,0.75045,0.9362,0.00664,0.96906,1,0.995,0.7695,0.9,1.5197,0.01001,0.000834822,0.000834822,0.000834822
44,73.1856,0.76644,0.90244,0.00607,0.97121,1,0.995,0.78933,0.83035,1.48678,0.00929,0.000820675,0.000820675,0.000820675
45,74.7866,0.75009,0.89821,0.00582,0.97618,1,0.995,0.79917,0.85372,1.43613,0.00953,0.000806528,0.000806528,0.000806528
46,76.3829,0.77199,0.89378,0.00605,0.98149,1,0.995,0.78603,0.86005,1.38873,0.00987,0.00079238,0.00079238,0.00079238
47,78.0179,0.76564,0.84723,0.00583,0.98616,1,0.995,0.79286,0.85139,1.37894,0.00939,0.000778233,0.000778233,0.000778233
48,79.6615,0.77602,0.86448,0.00678,0.98703,1,0.995,0.81217,0.82752,1.36379,0.00957,0.000764086,0.000764086,0.000764086
49,81.2836,0.75753,0.84347,0.00633,0.98367,1,0.995,0.79292,0.82817,1.33455,0.00945,0.000749939,0.000749939,0.000749939
50,82.9796,0.73211,0.79953,0.00587,0.98561,0.99747,0.995,0.82217,0.84268,1.34996,0.00927,0.000735792,0.000735792,0.000735792
51,84.6514,0.74237,0.84726,0.00589,0.98849,0.99957,0.995,0.8355,0.79912,1.29046,0.00886,0.000721645,0.000721645,0.000721645
52,86.2842,0.7435,0.81533,0.0057,0.98322,1,0.995,0.79633,0.93057,1.29846,0.01101,0.000707498,0.000707498,0.000707498
53,87.905,0.73776,0.80328,0.00621,0.98444,1,0.995,0.79303,0.94573,1.28546,0.01121,0.000693351,0.000693351,0.000693351
54,89.5755,0.67768,0.76462,0.00589,0.98013,1,0.995,0.79228,0.81926,1.21556,0.00888,0.000679204,0.000679204,0.000679204
55,91.2242,0.68738,0.80534,0.00527,0.98289,1,0.995,0.79611,0.82542,1.17694,0.00902,0.000665057,0.000665057,0.000665057
56,92.9049,0.69304,0.74833,0.00536,0.98546,1,0.995,0.80957,0.82413,1.17147,0.00932,0.000650909,0.000650909,0.000650909
